,"장비(도구, 무기)",,,,,,,,,,,,,,
20,1,201,싱싱한 고기,1,-1,0,30,0,-1,-1,300,99,TRUE,Food_meat,익지 않은 생고기.
21,1,201,냉동 만두,1,-1,0,50,0,-1,-1,200,99,TRUE,Food_frozen_dumplings,차갑고 딱딱한 냉동 만두.
22,1,201,브로콜리,1,-1,0,10,0,-1,-1,180,99,TRUE,Food_broccoli,신선한 브로콜리.
23,1,201,두리안,1,-1,0,30,0,-1,-1,250,99,TRUE,Food_durian,썩 좋지 않은 냄새가 풍긴다….
24,1,201,바나나,1,-1,0,15,0,-1,-1,120,99,TRUE,Food_banana,잘 익은 바나나. 껍질은 아무 데나 버리지 말자.
25,1,202,과자,1,-1,25,20,0,-1,-1,100,99,TRUE,Food_snack,질소로 빵빵하게 포장된 감자칩 과자.
26,1,200,상한 귤,1,-1,5,0,0,-1,-1,50,99,TRUE,Food_mandarin,하얗게 곰팡이가 피어 있다.
27,1,200,싹난 감자,1,-1,10,0,0,-1,-1,80,99,TRUE,Food_potato,귀여운 새싹이 보인다.
28,1,202,초콜릿,1,-1,20,10,0,-1,-1,100,99,TRUE,Food_chocolate,새것 같은 달콤한 초콜릿.
29,1,202,눈알 사탕,1,-1,10,10,0,-1,-1,100,99,TRUE,Food_candy,딸기 맛.
30,1,201,오렌지 주스,1,-1,0,50,0,-1,-1,100,99,TRUE,Food_orange_juice,오렌지 과즙 100%
31,1,202,추로스,1,-1,20,10,0,-1,-1,220,99,TRUE,Food_churros,놀이공원에 온 기분이 든다.
32,1,203,솜사탕,1,-1,10,15,30,10,-1,100,99,TRUE,Food_candyfluff,후후 불면 날아가는 솜사탕. 몸이 가벼워질 것 같다.
33,1,203,아이스크림,1,-1,10,25,10,10,-1,200,99,TRUE,Food_icecream,머리가 아플 정도로 차디찬 아이스크림.
34,1,202,곰팡이 캐릭터 빵,1,-1,50,10,0,-1,-1,200,99,TRUE,Food_melonpan,귀여운 캐릭터 빵. 띠부 씰과 곰팡이 포함.
35,1,202,먹다 남은 나쵸,1,-1,25,10,0,-1,-1,200,99,TRUE,Food_Nachos,누군가 먹다 남긴 치즈맛 나쵸.
36,1,203,젤리빈,1,-1,5,10,5,10,-1,200,99,TRUE,Food_jellybean,콩 모양 젤리. 먹으면 마법 같은 맛이 난다.
37,1,202,상한닭다리,1,-1,40,10,0,-1,-1,200,99,TRUE,Food_drumstick,상한 치킨. 한입 먹힌 흔적이 있다.
38,1,202,곰팡이 치즈,1,-1,20,5,0,-1,-1,200,99,TRUE,Food_cheese,곰팡이 핀 치즈.
39,1,202,상한 요거트,1,-1,15,5,0,-1,-1,200,99,TRUE,Food_yogurt,맛있어 보이는 요거트. 시큼한 냄새가 난다.
40,1,202,남긴 핫초코,1,-1,0,20,0,-1,-1,200,99,TRUE,Food_cocoa,누군가 마시던 핫초코.
41,1,203,남긴 케이크,1,-1,0,50,10,10,-1,200,99,TRUE,Food_cake,누군가 먹다 남긴 조각 케이크! 발걸음이 빨라질 만큼 맛있다!
42,1,202,조금 남은 과자,1,-1,5,15,0,-1,-1,200,99,TRUE,Food_snackbox,과자… 조금 남았다.
43,1,202,피자 박스,1,-1,30,30,0,-1,-1,200,99,TRUE,Food_pizza,한 조각 반이 들어 있다.
44,1,202,상한 생선,1,-1,20,10,0,-1,-1,200,99,TRUE,Food_fish,상한 생선… 냄새가 끔찍하다.
45,1,202,남긴 도시락,1,-1,25,30,0,-1,-1,200,99,TRUE,Food_lunch,유통기한 임박 할인' 스티커가 붙어 있다.
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,기타(예능 아이템),,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
item_id,item_type,item_sub_type,item_name,weight,max_durability,heal_amount,energy_amount,effect_amount,duration,grade,price,max_stack,is_throwable,icon_path,description
46,2,302,풍선,1,-1,-1,-1,-1,-1,-1,80,99,TRUE,,몸이 가벼워진다.
47,2,301,부부젤라,1,-1,-1,-1,-1,-1,-1,150,99,TRUE,,요란한 소리를 낼 수 있다.
48,2,301,양동이,1,-1,-1,-1,-1,-1,-1,100,99,TRUE,,머리에 씌울 수 있을 것 같다.
49,2,303,바나나 껍질,1,-1,-1,-1,-1,-1,-1,60,99,TRUE,,밟고 미끄러지지 않게 조심!
50,2,300,구멍난 양말,1,-1,-1,-1,-1,-1,-1,40,99,TRUE,,구멍이 뚫려서 버려진 걸까?
51,2,300,끈적 슬라임,1,-1,-1,-1,-1,-1,-1,90,99,TRUE,,끈적한 슬라임. 쓸데는 없다.
52,2,300,저금통,1,-1,-1,-1,-1,-1,-1,200,99,TRUE,,흔들면 짤랑짤랑 소리가 난다.
53,2,300,메모지,1,-1,-1,-1,-1,-1,-1,30,99,TRUE,,누군가 남긴 메모.
54,2,303,거미줄,1,-1,-1,-1,-1,-1,-1,80,99,TRUE,,끈적한 거미줄. 닿으면 느려질 것 같다.
55,2,303,덫,1,-1,-1,-1,-1,5,-1,150,99,TRUE,,**유령에게도 효과 있음**
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,보물,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
item_id,item_type,item_sub_type,item_name,weight,max_durability,heal_amount,energy_amount,effect_amount,duration,grade,price,max_stack,is_throwable,icon_path,description
56,3,,녹슨 동전,2,-1,-1,-1,-1,-1,0,10,1,TRUE,,
57,3,,유리 구슬,3,-1,-1,-1,-1,-1,0,18,1,TRUE,,
58,3,,오래된 숟가락,4,-1,-1,-1,-1,-1,0,26,1,TRUE,,
59,3,,빈 물병,3,-1,-1,-1,-1,-1,0,17,1,TRUE,,
60,3,,조개 껍데기,4,-1,-1,-1,-1,-1,0,25,1,TRUE,,
61,3,,지도 조각,1,-1,-1,-1,-1,-1,0,20,1,TRUE,,
62,3,,목각 인형,10,-1,-1,-1,-1,-1,0,120,1,TRUE,,
63,3,,종이 비행기,1,-1,-1,-1,-1,-1,0,3,1,TRUE,,
64,3,,병뚜껑,2,-1,-1,-1,-1,-1,0,16,1,TRUE,,
65,3,,테니스 공,5,-1,-1,-1,-1,-1,0,26,1,TRUE,,
66,3,,고장난 세탁기,40,-1,-1,-1,-1,-1,0,350,1,TRUE,,
67,3,,망가진 자전거,32,-1,-1,-1,-1,-1,0,240,1,TRUE,,
68,3,,생선 뼈,1,-1,-1,-1,-1,-1,0,2,1,TRUE,,
69,3,,나무 단추,2,-1,-1,-1,-1,-1,0,8,1,TRUE,,
70,3,,빈 깡통,3,-1,-1,-1,-1,-1,0,7,1,TRUE,,
71,3,,벽돌,15,-1,-1,-1,-1,-1,0,50,1,TRUE,,
72,3,,금 간 접시,6,-1,-1,-1,-1,-1,0,35,1,TRUE,,
73,3,,낡은 부츠,8,-1,-1,-1,-1,-1,0,25,1,TRUE,,
74,3,,고장난 시계,20,-1,-1,-1,-1,-1,0,150,1,TRUE,,
75,3,,구리 반지,5,-1,-1,-1,-1,-1,1,120,1,TRUE,,
76,3,,비단 손수건,4,-1,-1,-1,-1,-1,1,100,1,TRUE,,
77,3,,진주 귀걸이,3,-1,-1,-1,-1,-1,1,150,1,TRUE,,
78,3,,황동 촛대,20,-1,-1,-1,-1,-1,1,620,1,TRUE,,
79,3,,자수정 조각,10,-1,-1,-1,-1,-1,1,360,1,TRUE,,
80,3,,고대 점토판,12,-1,-1,-1,-1,-1,1,500,1,TRUE,,
81,3,,청동 거울,17,-1,-1,-1,-1,-1,1,440,1,TRUE,,
82,3,,프릴 리본,8,-1,-1,-1,-1,-1,1,170,1,TRUE,,
83,3,,가죽 벨트,10,-1,-1,-1,-1,-1,1,270,1,TRUE,,
84,3,,도자기 화병,17,-1,-1,-1,-1,-1,1,530,1,TRUE,,
85,3,,오크통,30,-1,-1,-1,-1,-1,1,720,1,TRUE,,
86,3,,복싱 글러브,14,-1,-1,-1,-1,-1,1,300,1,TRUE,,
87,3,,차 열쇠,8,-1,-1,-1,-1,-1,1,360,1,TRUE,,
88,3,,명품 가방,15,-1,-1,-1,-1,-1,1,520,1,TRUE,,
89,3,,여행 가방,25,-1,-1,-1,-1,-1,1,710,1,TRUE,,
90,3,,은 반지,5,-1,-1,-1,-1,-1,2,300,1,TRUE,,
91,3,,에메랄드 귀걸이,3,-1,-1,-1,-1,-1,2,340,1,TRUE,,
92,3,,수정 해골,30,-1,-1,-1,-1,-1,2,2400,1,TRUE,,
93,3,,바이킹 투구,20,-1,-1,-1,-1,-1,2,1400,1,TRUE,,
94,3,,무사의 검,18,-1,-1,-1,-1,-1,2,1800,1,TRUE,,
95,3,,옥 팔찌,8,-1,-1,-1,-1,-1,2,700,1,TRUE,,
96,3,,보물 지도,2,-1,-1,-1,-1,-1,2,240,1,TRUE,,
97,3,,기사 갑옷,40,-1,-1,-1,-1,-1,2,2950,1,TRUE,,
98,3,,골동품 타자기,15,-1,-1,-1,-1,-1,2,1350,1,TRUE,,
99,3,,다이아몬드 반지,5,-1,-1,-1,-1,-1,3,1500,1,TRUE,,
100,3,,유니콘 뿔,25,-1,-1,-1,-1,-1,3,5000,1,TRUE,,
101,3,,황금 성배,30,-1,-1,-1,-1,-1,3,4520,1,TRUE,,
102,3,,공룡 알 화석,50,-1,-1,-1,-1,-1,3,9800,1,TRUE,,
103,3,,운석 파편,45,-1,-1,-1,-1,-1,3,12000,1,TRUE,,
104,3,,저주받은 토템,40,-1,-1,-1,-1,-1,3,7500,1,TRUE,,
105,3,,금괴 상자,80,-1,-1,-1,-1,-1,3,19520,1,TRUE,,
106,3,,불사조의 깃털,1,-1,-1,-1,-1,-1,4,1000,1,TRUE,,
107,3,,바다의 심장,70,-1,-1,-1,-1,-1,4,37200,1,TRUE,,
108,3,,엑스칼리버,62,-1,-1,-1,-1,-1,4,42890,1,TRUE,,
109,3,,황제의 옥좌,150,-1,-1,-1,-1,-1,4,132460,1,TRUE,,
110,3,,현자의 돌,70,-1,-1,-1,-1,-1,4,52520,1,TRUE,,
